trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.4999999999999998, 'e': 0.5999999999999996}",20,7,-18.100115741004924,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.4999999999999998, 'e': 0.5949999999999996}",30,0,-53.78842474642626,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
82,False,"{'a': 0.4999999999999998, 'e': 0.5899999999999996}",20,13,11.078971819965593,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.4999999999999998, 'e': 0.5849999999999996}",20,0,-74.07894934290873,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.4999999999999998, 'e': 0.5799999999999996}",20,0,-2.997628355860571,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
85,False,"{'a': 0.4999999999999998, 'e': 0.5749999999999996}",25,0,-26.983410929443476,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.4999999999999998, 'e': 0.5699999999999996}",30,20,-16.840606707938715,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.4999999999999998, 'e': 0.5649999999999996}",20,3,-96.85238391789335,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 2}",1
88,False,"{'a': 0.4999999999999998, 'e': 0.5599999999999996}",25,2,-21.907404520249138,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.4999999999999998, 'e': 0.5549999999999996}",30,16,-44.851700515053345,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
90,False,"{'a': 0.4999999999999998, 'e': 0.5499999999999996}",20,4,-41.51724759286135,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
91,False,"{'a': 0.4999999999999998, 'e': 0.5449999999999996}",20,6,-25.770565232491315,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
92,False,"{'a': 0.4999999999999998, 'e': 0.5399999999999996}",20,0,-61.967529021853444,"{0: 16, 1: 0, 2: 0, 3: 4, 4: 0}",1
93,False,"{'a': 0.4999999999999998, 'e': 0.5349999999999996}",25,16,-118.04560470702654,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 3}",1
94,False,"{'a': 0.4999999999999998, 'e': 0.5299999999999996}",20,0,-58.84285461643476,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
95,False,"{'a': 0.4999999999999998, 'e': 0.5249999999999996}",20,6,-9.77655924099246,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
96,False,"{'a': 0.4999999999999998, 'e': 0.5199999999999996}",25,0,-50.23309953223227,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.4999999999999998, 'e': 0.5149999999999996}",20,7,-80.78603279074176,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
98,False,"{'a': 0.4999999999999998, 'e': 0.5099999999999996}",25,8,-2.648588246402971,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
99,False,"{'a': 0.4999999999999998, 'e': 0.5049999999999996}",20,11,-78.2012195909853,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
100,False,"{'a': 0.4999999999999998, 'e': 0.49999999999999956}",25,4,-58.0559302816377,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 1}",1
101,False,"{'a': 0.4999999999999998, 'e': 0.49499999999999955}",20,0,-43.518531666900486,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
102,False,"{'a': 0.4999999999999998, 'e': 0.48999999999999955}",20,3,-38.333343923213505,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.4999999999999998, 'e': 0.48499999999999954}",20,6,22.48050563544255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.4999999999999998, 'e': 0.47999999999999954}",20,0,-28.630688076313618,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.4999999999999998, 'e': 0.47499999999999953}",30,16,-10.756271344611866,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.4999999999999998, 'e': 0.46999999999999953}",20,7,0.37497495069722575,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.4999999999999998, 'e': 0.4649999999999995}",20,5,-93.74182680366721,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
108,False,"{'a': 0.4999999999999998, 'e': 0.4599999999999995}",25,0,23.028882860054377,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.4999999999999998, 'e': 0.4549999999999995}",20,0,-16.604898844121493,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
110,False,"{'a': 0.4999999999999998, 'e': 0.4499999999999995}",20,4,25.155767252580713,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.4999999999999998, 'e': 0.4449999999999995}",20,0,-112.23106273531506,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
112,False,"{'a': 0.4999999999999998, 'e': 0.4399999999999995}",25,0,-47.17771757890363,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.4999999999999998, 'e': 0.4349999999999995}",30,7,-72.87333971557075,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 2}",1
114,False,"{'a': 0.4999999999999998, 'e': 0.4299999999999995}",25,20,9.283466084210442,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.4999999999999998, 'e': 0.4249999999999995}",20,0,-52.80005984044308,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
116,False,"{'a': 0.4999999999999998, 'e': 0.4199999999999995}",25,13,-25.086771209550008,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.4999999999999998, 'e': 0.4149999999999995}",30,14,1.2579548558226912,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.4999999999999998, 'e': 0.4099999999999995}",25,0,-68.44829213751467,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
119,False,"{'a': 0.4999999999999998, 'e': 0.40499999999999947}",20,0,-10.580321171535532,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
120,False,"{'a': 0.4999999999999998, 'e': 0.39999999999999947}",25,18,11.727458576560913,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.4999999999999998, 'e': 0.39499999999999946}",30,0,-130.72039274039037,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 3}",0
122,False,"{'a': 0.4999999999999998, 'e': 0.38999999999999946}",20,2,-44.14903687722835,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.4999999999999998, 'e': 0.38499999999999945}",20,14,13.16110501881712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.4999999999999998, 'e': 0.37999999999999945}",25,0,-21.47472353630959,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
125,False,"{'a': 0.4999999999999998, 'e': 0.37499999999999944}",25,0,-68.97951797333374,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
126,False,"{'a': 0.4999999999999998, 'e': 0.36999999999999944}",20,0,-31.58596318000677,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.4999999999999998, 'e': 0.36499999999999944}",30,17,0.23614587887757787,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.4999999999999998, 'e': 0.35999999999999943}",30,18,21.71735690434571,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4999999999999998, 'e': 0.3549999999999994}",20,13,-3.8941486798304865,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.4999999999999998, 'e': 0.3499999999999994}",30,18,2.002518049929643,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.4999999999999998, 'e': 0.3449999999999994}",25,15,7.4293265848799654,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.4999999999999998, 'e': 0.3399999999999994}",20,12,17.90612257115213,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.4999999999999998, 'e': 0.3349999999999994}",30,8,15.535902068160375,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.4999999999999998, 'e': 0.3299999999999994}",25,5,12.221140331650771,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.4999999999999998, 'e': 0.3249999999999994}",30,8,20.582426783936775,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.4999999999999998, 'e': 0.3199999999999994}",20,1,31.633902123487996,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.4999999999999998, 'e': 0.3149999999999994}",30,0,-23.386255175414277,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.4999999999999998, 'e': 0.3099999999999994}",25,0,-11.795638705399522,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
139,False,"{'a': 0.4999999999999998, 'e': 0.3049999999999994}",25,17,8.7607254478574,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.4999999999999998, 'e': 0.2999999999999994}",25,0,16.460886524312166,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.4999999999999998, 'e': 0.2949999999999994}",20,0,-39.07087071501377,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
142,False,"{'a': 0.4999999999999998, 'e': 0.28999999999999937}",25,7,-23.527382627569665,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.4999999999999998, 'e': 0.28499999999999936}",20,13,0.9603269830770356,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.4999999999999998, 'e': 0.27999999999999936}",25,13,-48.99639604112624,"{0: 8, 1: 0, 2: 2, 3: 2, 4: 0}",1
145,False,"{'a': 0.4999999999999998, 'e': 0.27499999999999936}",20,10,0.030144593223231597,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.4999999999999998, 'e': 0.26999999999999935}",35,8,32.43161714545326,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.4999999999999998, 'e': 0.26499999999999935}",25,3,17.926007164469883,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.4999999999999998, 'e': 0.25999999999999934}",20,1,3.0652541086928977,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.4999999999999998, 'e': 0.25499999999999934}",25,7,-3.444354524469711,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.4999999999999998, 'e': 0.24999999999999933}",25,6,-1.8552362219894065,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
151,False,"{'a': 0.4999999999999998, 'e': 0.24499999999999933}",25,0,19.279701445999805,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
152,False,"{'a': 0.4999999999999998, 'e': 0.23999999999999932}",25,18,11.008947742320727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.4999999999999998, 'e': 0.23499999999999932}",25,11,2.316317438884932,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.4999999999999998, 'e': 0.22999999999999932}",20,0,23.00461593545846,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.4999999999999998, 'e': 0.2249999999999993}",25,8,24.892175586381683,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.4999999999999998, 'e': 0.2199999999999993}",25,17,13.925413475973894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.4999999999999998, 'e': 0.2149999999999993}",25,0,-24.426173619135835,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
158,False,"{'a': 0.4999999999999998, 'e': 0.2099999999999993}",20,10,17.100276161727404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.4999999999999998, 'e': 0.2049999999999993}",20,14,8.70320786011772,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.4999999999999998, 'e': 0.1999999999999993}",35,12,-11.254340098226177,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 0}",1
161,False,"{'a': 0.4999999999999998, 'e': 0.19499999999999929}",30,23,12.29384215889646,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.4999999999999998, 'e': 0.18999999999999928}",20,6,22.001830800057903,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.4999999999999998, 'e': 0.18499999999999928}",20,13,13.036989811458241,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.4999999999999998, 'e': 0.17999999999999927}",20,16,7.794851256137455,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.4999999999999998, 'e': 0.17499999999999927}",20,7,26.115849775186405,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.4999999999999998, 'e': 0.16999999999999926}",20,6,22.933571523439646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.4999999999999998, 'e': 0.16499999999999926}",20,14,-30.576797060537327,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.4999999999999998, 'e': 0.15999999999999925}",25,3,34.06523974192821,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.4999999999999998, 'e': 0.15499999999999925}",30,16,25.92503539137297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.4999999999999998, 'e': 0.14999999999999925}",30,1,14.86309661684241,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.4999999999999998, 'e': 0.14499999999999924}",25,20,8.939685978920497,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.4999999999999998, 'e': 0.13999999999999924}",25,11,22.681327092928676,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
