trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
205,False,"{'a': 0.4999999999999998, 'e': 0.01690746565270528}",30,18,21.120500700441113,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.4999999999999998, 'e': 0.016572675401761255}",25,14,20.64602308940483,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.4999999999999998, 'e': 0.01624451444194987}",25,14,19.614937988164115,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.4999999999999998, 'e': 0.015922851504511698}",30,15,26.297902665454796,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.4999999999999998, 'e': 0.01560755791998283}",20,10,6.561009993413384,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.4999999999999998, 'e': 0.015298507566725518}",20,4,30.433767174779522,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.4999999999999998, 'e': 0.014995576820477703}",25,15,21.72936639444699,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,23,13.952228939788105,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,32.25539155022688,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,18,14.377401285403797,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,16,18.396134622039334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,19.26729597348126,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,15.449032189693252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,31.208160077646127,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,10,26.873321448642407,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,11,37.48181190902366,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,29.92925525830938,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
